1, Eunice GONZALEZ, 1903-10-31, 3880 Stephen Heights, Calgary, T1Y 3A8, AB, 403 676 7721
515, Kristopher ROBERTS, 2015-3-23, 8307 Longfellow Common, Edmonton, T5A 0W4, AB, 780 423 1721
516, Zaplod PERRY, 1973-11-6, 501 Mornington Grove, Calgary, T1Y 3A8, AB, 403 179 4679
517, Eunice WALKER, 1925-6-2, 6621 Linksfield Street, Volgograd, 400001, VO, 506 800 5079
518, Jevrem MCDONALD, 1997-5-13, 7605 Red Kite Rise, Calgary, T1Y 3A8, AB, 403 263 1030
519, Beuatrice GONZALES, 1954-9-9, 9897 St Peter's Glebe, Edmonton, T5A 0W4, AB, 780 354 4032
520, Eunice RIVERA, 1985-11-1, 8010 St Combs Court, San Francisco, 94140, CA, 415 135 2674
521, Tylor BURNS, 1909-6-16, 668 Beck East, Alaxandria, 22304, VA, 905 702 1355
522, Jevrem WELLS, 1925-12-26, 9162 High Hall, Edmonton, T5A 0W4, AB, 780 936 8164
523, Jevrem RAMIREZ, 1923-5-6, 644 Wolseley Grange, Calgary, T1Y 3A8, AB, 403 741 7266
524, Ulysiss JAMES, 1938-10-24, 5852 Kendal Parade, Gilroy, 95020, CA, 408 281 8156
525, Sharell MURPHY, 1983-8-10, 5472 Stephen Heights, Winnipeg, R2C 0G3, MB, 306 787 1442
526, Samuel HILL, 1938-2-18, 431 St Combs Court, San Jose, 95111, CA, 408 303 7850
527, Lilly TUCKER, 1902-4-27, 5645 Sir Karl Cohen Square, Gilroy, 95020, CA, 408 968 4931
528, John GONZALES, 1949-11-7, 4307 Poets' Road, Gilroy, 95020, CA, 408 668 5684
529, Rachel TORRES, 1937-7-3, 447 French Side, Volgograd, 400001, VO, 506 748 7984
530, Mavrick WELLS, 1914-5-1, 5079 Gray Cross, Calgary, T1Y 3A8, AB, 403 616 8565
531, David COX, 1965-3-11, 2640 Cowley Reach, Edmonton, T5A 0W4, AB, 780 513 7737
532, Mike PATTERSON, 2000-12-21, 3042 Woodburn Road, Moscow, 83843, ID, 855 921 1567
533, Nikole MORALES, 1984-5-19, 968 Sir Karl Cohen Square, Edmonton, T5A 0W4, AB, 780 732 5163
534, Geralt GRAHAM, 1932-10-5, 2735 Beeston Hawthorns, Moscow, 83843, ID, 855 873 2322
535, Haiyi KELLY, 1981-4-17, 3742 Vernon Celyn, Charleston, 29401, SC, 843 430 7280
536, Tylor YOUNG, 1998-9-29, 6215 Kendal Dell, Vancouver, V5K 0A8, BC, 604 869 7752
537, Samuel JENKINS, 1952-10-11, 5610 Melbourne Meadows, Moscow, 83843, ID, 855 982 7470
538, Jacob SIMPSON, 1939-9-9, 3916 Wentworth Oak, Moscow, 83843, ID, 855 366 4174
539, Cleo MARTINEZ, 1968-11-4, 2060 Blairbeg Place, Volgograd, 400001, VO, 506 142 4672
540, Lilly SMITH, 1987-12-18, 2188 Hampshire Wynd, Vancouver, V5K 0A8, BC, 604 911 5008
541, Killian HOWARD, 1920-2-29, 4512 Leighton Hawthorns, San Jose, 95111, CA, 408 927 3253
542, Tylor HALL, 1902-5-21, 8388 Red Kite Rise, Vancouver, V5K 0A8, BC, 604 591 8479
543, Haiyi COX, 1994-3-3, 6702 Beck East, Moscow, 83843, ID, 855 814 5963
544, Kristopher BARNES, 2011-4-26, 6515 Windmill Brow, Edmonton, T5A 0W4, AB, 780 493 4706
545, Haiyi ROBINSON, 2014-11-7, 6442 St Margarets Acre, Alaxandria, 22304, VA, 905 307 7144
546, Samuel PEREZ, 1944-6-28, 1942 Bernard Wood, Winnipeg, R2C 0G3, MB, 306 860 2971
547, Mavrick WEST, 1994-7-4, 1102 Boswell Grange, Winnipeg, R2C 0G3, MB, 306 250 8496
548, Sharell HOLMES, 1921-1-16, 49 St Augustine Road, Winnipeg, R2C 0G3, MB, 306 778 3471
549, Mike BROOKS, 1996-12-10, 160 Gray Cross, Moscow, 83843, ID, 855 180 6529
550, Ulysiss KING, 1932-2-15, 4439 Beck East, Winnipeg, R2C 0G3, MB, 306 259 1431
551, Aaron ROSS, 1930-4-6, 5481 Burgess Gate, Charleston, 29401, SC, 843 617 1772
552, Zaplod BAILEY, 1982-1-10, 8734 Dane Ridings, San Jose, 95111, CA, 408 550 2628
553, Nikole GOMEZ, 1912-2-16, 8207 Livingstone Alley, Charleston, 29401, SC, 843 894 3669
554, Grant GIBSON, 2001-1-30, 3680 Sir Karl Cohen Square, Charleston, 29401, SC, 843 274 2042
555, Quanny GIBSON, 1987-9-5, 3198 Windmill Brow, Moscow, 83843, ID, 855 732 8420
556, Zaplod PETERSON, 1989-11-5, 7513 Woodbine Lodge, Winnipeg, R2C 0G3, MB, 306 202 8593
557, Geralt FREEMAN, 1960-7-18, 5450 St Combs Court, Calgary, T1Y 3A8, AB, 403 182 5102
558, Ogrid HILL, 1968-12-14, 3712 Melbourne Meadows, Gilroy, 95020, CA, 408 234 8881
559, Xavier RAMIREZ, 1959-3-31, 5419 Wentworth Oak, Winnipeg, R2C 0G3, MB, 306 192 5199
560, Justin WHITE, 2003-9-13, 5350 Parkland Park, Calgary, T1Y 3A8, AB, 403 129 1098
561, Mike BAILEY, 1941-2-15, 8519 Sir Karl Cohen Square, Moscow, 83843, ID, 855 857 3849
562, Mavrick BAKER, 1915-2-10, 6803 Woodbine Lodge, Calgary, T1Y 3A8, AB, 403 693 6127
563, Eunice MCDONALD, 2008-5-12, 1256 Cowley Reach, Moscow, 83843, ID, 855 217 4846
564, Justin CRAWFORD, 1951-3-23, 7517 Beeston Hawthorns, San Francisco, 94140, CA, 415 861 2494
565, Heugh SULLIVAN, 2008-1-9, 8425 Trent Top, Moscow, 83843, ID, 855 121 5912
566, Flanigan WILSON, 1944-9-21, 5174 Melbourne Meadows, Alaxandria, 22304, VA, 905 165 5668
567, Eunice FOSTER, 1950-1-18, 459 St Margarets Leys, Gilroy, 95020, CA, 408 965 8538
568, Samantha CRAWFORD, 1970-8-9, 1683 Forbes Bottom, Vancouver, V5K 0A8, BC, 604 457 5729
569, Killian HENRY, 2013-2-12, 3504 Coggeshall Road, Charleston, 29401, SC, 843 690 3443
570, Xavier ROSS, 2007-5-16, 8479 High Hall, Calgary, T1Y 3A8, AB, 403 831 3010
571, Yovonne LEWIS, 1908-9-29, 5760 All Saints Down, Charleston, 29401, SC, 843 579 5465
572, Ivana ROBINSON, 1991-8-8, 8577 Furness Bridge, San Jose, 95111, CA, 408 157 7318
573, Jullian SANDERS, 1931-9-4, 4008 St Margarets Leys, Calgary, T1Y 3A8, AB, 403 692 1736
574, Samuel HARRIS, 1915-11-26, 3650 Fairey Street, Alaxandria, 22304, VA, 905 978 3171
575, Geralt GIBSON, 1916-6-24, 7782 Leaverholme Close, Vancouver, V5K 0A8, BC, 604 249 5179
576, Jevrem COLEMAN, 1902-4-7, 1225 Edinburgh Parc, Vancouver, V5K 0A8, BC, 604 998 4183
577, Lilly NELSON, 1943-8-27, 3307 Bow Cliff, Vancouver, V5K 0A8, BC, 604 316 2771
578, Geralt WARD, 2010-7-21, 8964 Whitestone Close, Moscow, 83843, ID, 855 429 5838
579, Ulysiss TAYLOR, 1939-12-1, 5393 Parkland Park, Volgograd, 400001, VO, 506 564 8024
580, Aaron SIMMONS, 1929-6-21, 331 Furness Bridge, Gilroy, 95020, CA, 408 372 2993
581, Tylor OWENS, 1945-3-23, 3387 Greenacre Beeches, Alaxandria, 22304, VA, 905 958 8763
582, Samantha WASHINGTON, 2015-7-5, 3068 Woodburn Road, Edmonton, T5A 0W4, AB, 780 516 3241
583, Ulysiss MARTIN, 1975-2-17, 1245 Westbourne Valley, Alaxandria, 22304, VA, 905 987 7089
584, Haiyi YOUNG, 1985-9-1, 321 St Augustine Road, Winnipeg, R2C 0G3, MB, 306 644 7494
585, Cleo MASON, 2002-6-28, 5373 Malton Poplars, Alaxandria, 22304, VA, 905 343 6047
586, Nikole ALLEN, 1980-6-12, 3483 Lords Nook, Calgary, T1Y 3A8, AB, 403 289 5024
587, Vlad BROOKS, 1974-1-22, 9083 Parkland Park, Winnipeg, R2C 0G3, MB, 306 510 5374
588, Heugh RICHARDSON, 1984-5-15, 2613 Kendal Parade, Alaxandria, 22304, VA, 905 866 2577
589, Justin BRYANT, 1902-7-25, 8024 Marhill Road, Vancouver, V5K 0A8, BC, 604 400 7278
590, Grant FOSTER, 1932-9-15, 635 Furness Bridge, Winnipeg, R2C 0G3, MB, 306 427 4096
591, Rachel JORDAN, 1912-1-2, 5727 Wentworth Oak, Alaxandria, 22304, VA, 905 861 2311
592, Heugh STEWART, 1909-4-4, 6377 St Davids Hall, Vancouver, V5K 0A8, BC, 604 981 7290
593, Phillip BELL, 1989-5-5, 748 Vernon Celyn, Gilroy, 95020, CA, 408 605 2157
594, Olyiv TORRES, 1920-2-9, 3961 Argyll Dene, San Jose, 95111, CA, 408 354 1481
595, Heugh PATTERSON, 1905-8-25, 5837 Stanford Grove, Volgograd, 400001, VO, 506 583 2131
596, Persepone HAMILTON, 1906-1-4, 7039 Williams Cloisters, San Jose, 95111, CA, 408 859 5213
597, Justin WATSON, 1925-9-16, 6669 Marhill Road, Alaxandria, 22304, VA, 905 671 5003
598, Justin THOMPSON, 2017-8-18, 5118 Egypt Road, Vancouver, V5K 0A8, BC, 604 784 4729
599, Nikole EVANS, 1952-6-3, 4010 Langdale Terrace, Charleston, 29401, SC, 843 930 7649
600, Killian GRAHAM, 1969-3-19, 4917 Wallis Reach, San Jose, 95111, CA, 408 506 8791
601, Mavrick YOUNG, 2018-1-24, 4977 Leaverholme Close, Charleston, 29401, SC, 843 208 5818
602, William DIXON, 1980-6-3, 6440 Parkland Park, Vancouver, V5K 0A8, BC, 604 945 7894
603, Tylor FOSTER, 1959-3-13, 1251 Carrick Row, San Francisco, 94140, CA, 415 276 4957
604, Beuatrice HERNANDEZ, 1902-11-23, 8453 Kendal Dell, Charleston, 29401, SC, 843 932 6394
605, Mike HALL, 1915-4-22, 151 Leighton Hawthorns, Calgary, T1Y 3A8, AB, 403 623 8701
606, Eunice FLORES, 1991-11-13, 7570 Lowfield Beeches, San Francisco, 94140, CA, 415 703 1921
607, Olyiv EVANS, 1923-9-3, 4014 Lytton Lanes, Volgograd, 400001, VO, 506 532 2092
608, Adam NELSON, 1907-8-9, 4909 Kendal Parade, Volgograd, 400001, VO, 506 280 5509
609, Jevrem COLEMAN, 1949-9-13, 3626 Lowfield Beeches, Volgograd, 400001, VO, 506 594 2281
610, Ivana SULLIVAN, 1967-9-1, 6767 Marhill Road, Alaxandria, 22304, VA, 905 255 5034
611, Beuatrice WEST, 1925-12-5, 4462 Vernon Celyn, Alaxandria, 22304, VA, 905 169 6300
612, Justin ROGERS, 1919-1-26, 9393 High Hall, Gilroy, 95020, CA, 408 584 1727
613, Ulysiss COOK, 2005-4-27, 9188 Greenway Moor, Volgograd, 400001, VO, 506 686 5628
614, Mike KENNEDY, 1995-3-6, 5144 Hallowell Close, Charleston, 29401, SC, 843 748 1969
615, Geralt WILSON, 1988-12-2, 6464 St Annes Promenade, Gilroy, 95020, CA, 408 832 1445
616, Ogrid WRIGHT, 1986-10-27, 5534 Greenacre Beeches, San Francisco, 94140, CA, 415 342 7300
617, Ivana ALEXANDER, 1924-11-22, 3966 Thomson Ridge, Winnipeg, R2C 0G3, MB, 306 168 8813
618, Eunice SANDERS, 1916-6-18, 7723 Edinburgh Parc, Calgary, T1Y 3A8, AB, 403 575 3498
619, Tylor FORD, 1974-1-12, 2293 Trent Top, Alaxandria, 22304, VA, 905 309 6157
620, Ryan COOK, 2014-5-19, 4986 St Peter's Glebe, Winnipeg, R2C 0G3, MB, 306 266 5424
621, Mavrick TORRES, 1989-4-29, 3140 Canning Head, Edmonton, T5A 0W4, AB, 780 991 8309
622, Ulysiss RICHARDSON, 1971-10-28, 5781 Kendal Parade, Edmonton, T5A 0W4, AB, 780 731 6344
623, Ethan CRAWFORD, 2015-11-8, 6084 St Combs Court, Vancouver, V5K 0A8, BC, 604 132 3400
624, Jullian DIXON, 1928-10-26, 3895 Linksfield Street, Gilroy, 95020, CA, 408 376 1449
625, Aaron RIVERA, 1910-3-10, 7609 Sievewright Street, San Francisco, 94140, CA, 415 268 5358
626, Mike CARTER, 1971-9-10, 4999 Stanford Grove, Edmonton, T5A 0W4, AB, 780 698 1120
627, Tristiana MORGAN, 1904-11-9, 654 Melbourne Meadows, Calgary, T1Y 3A8, AB, 403 579 7330
628, Veronica SIMPSON, 1915-11-5, 5547 Home Farm Lawns, Charleston, 29401, SC, 843 390 6799
629, Ogrid JONES, 1960-12-9, 687 Gresham Downs, Vancouver, V5K 0A8, BC, 604 949 4064
630, Aaron WARD, 1941-3-16, 3318 Williams Cloisters, Vancouver, V5K 0A8, BC, 604 347 7374
631, Ogrid LOPEZ, 1915-8-11, 7394 Fairey Street, Volgograd, 400001, VO, 506 894 4776
632, Jevrem YOUNG, 1972-9-17, 8898 Coggeshall Road, Volgograd, 400001, VO, 506 214 2645
633, Tristiana SANDERS, 1992-9-17, 338 Greenacre Beeches, Vancouver, V5K 0A8, BC, 604 200 3096
634, William RAMOS, 1997-11-11, 3530 Williams Cloisters, Alaxandria, 22304, VA, 905 331 1218
635, Aaron SANDERS, 1989-9-3, 8975 Marhill Road, Moscow, 83843, ID, 855 480 6957
636, Zaplod POWELL, 1905-7-29, 2268 Fairey Street, Winnipeg, R2C 0G3, MB, 306 218 1593
637, Xavier ORTIZ, 1909-11-14, 4125 Burgess Gate, San Francisco, 94140, CA, 415 145 3742
638, Ethan PHILLIPS, 1933-1-23, 4549 Providence Paddock, Vancouver, V5K 0A8, BC, 604 969 7661
639, Geralt REYES, 1929-6-7, 937 Coggeshall Road, Calgary, T1Y 3A8, AB, 403 768 5694
640, John ORTIZ, 1911-2-24, 3425 St Margarets Acre, Moscow, 83843, ID, 855 197 8276
641, Mavrick PERRY, 1909-9-25, 7104 Hampshire Wynd, Calgary, T1Y 3A8, AB, 403 200 7866
642, Samantha MITCHELL, 1955-5-23, 3188 Boswell Grange, San Francisco, 94140, CA, 415 798 3768
643, Jevrem WALKER, 2004-5-14, 4500 Pippin Oaks, Volgograd, 400001, VO, 506 693 4566
644, Mike WEST, 1948-9-28, 1678 Birchlea Drive, Volgograd, 400001, VO, 506 247 1387
645, Haiyi STEVENS, 1932-2-12, 6095 Pasture Leaze, Winnipeg, R2C 0G3, MB, 306 258 1452
646, Grant SANCHEZ, 1970-12-24, 9871 Williams Cloisters, Vancouver, V5K 0A8, BC, 604 864 3849
647, Geralt BELL, 1975-8-8, 3537 Pasture Leaze, Calgary, T1Y 3A8, AB, 403 917 7025
648, John COLLINS, 2003-1-12, 5843 Wentworth Oak, Winnipeg, R2C 0G3, MB, 306 802 2753
649, Samantha HAMILTON, 1937-8-10, 2149 Malton Poplars, Edmonton, T5A 0W4, AB, 780 658 5091
650, Haiyi BARNES, 2003-5-11, 3825 Webb Acre, Alaxandria, 22304, VA, 905 675 4738
651, Persepone PETERSON, 1979-9-14, 5912 Pippin Oaks, Moscow, 83843, ID, 855 672 6117
652, Jullian WARREN, 2005-2-25, 6306 Edinburgh Parc, Calgary, T1Y 3A8, AB, 403 274 4415
653, John WELLS, 2009-10-4, 7822 Gill Ride, Edmonton, T5A 0W4, AB, 780 150 6054
654, Ivana MASON, 1943-7-5, 9559 Wentworth Oak, San Francisco, 94140, CA, 415 802 8679
655, Quanny ROBERTS, 2015-2-5, 5824 Kendal Dell, Alaxandria, 22304, VA, 905 235 8764
656, David WALLACE, 1988-1-6, 6131 Livingstone Alley, Edmonton, T5A 0W4, AB, 780 185 4323
657, Yovonne GRIFFIN, 1943-7-27, 2133 Knowsley Mount, Alaxandria, 22304, VA, 905 703 4148
658, Ethan OWENS, 1916-3-3, 4912 Clarence Hills, Winnipeg, R2C 0G3, MB, 306 872 1173
659, Heugh ALLEN, 1967-7-18, 6 Red Kite Rise, Vancouver, V5K 0A8, BC, 604 794 2382
660, Kristopher WOODS, 1922-11-4, 4680 Woodbine Lodge, Vancouver, V5K 0A8, BC, 604 525 7494
661, Yovonne JOHNSON, 1901-12-4, 1901 Whitestone Close, Vancouver, V5K 0A8, BC, 604 566 6006
662, Killian REYES, 1913-7-4, 4121 St Combs Court, Charleston, 29401, SC, 843 474 4396
663, Grant JAMES, 1967-7-16, 9106 Langdale Terrace, Gilroy, 95020, CA, 408 389 5286
664, Samuel CAMPBELL, 1982-5-19, 6602 Pasture Leaze, San Francisco, 94140, CA, 415 794 1883
665, Aaron GRAY, 1901-12-14, 1793 Bow Cliff, Gilroy, 95020, CA, 408 712 1904
666, David PERRY, 1917-9-14, 1883 Pasture Leaze, Vancouver, V5K 0A8, BC, 604 761 2332
667, Aaron HALL, 1981-8-12, 854 Gresham Downs, San Francisco, 94140, CA, 415 446 8795
668, Jevrem GRAHAM, 1906-4-16, 9101 Brompton Brambles, Charleston, 29401, SC, 843 883 8316
669, Samantha JENKINS, 1943-5-11, 9734 Pippin Oaks, Gilroy, 95020, CA, 408 520 4025
670, Grant CRAWFORD, 1926-3-4, 4022 Providence Paddock, Gilroy, 95020, CA, 408 484 1602
671, Mike LOPEZ, 1917-11-11, 9448 Providence Paddock, Moscow, 83843, ID, 855 911 8063
672, William THOMPSON, 1948-8-28, 8812 Beeston Hawthorns, Vancouver, V5K 0A8, BC, 604 447 5714
673, William KENNEDY, 2015-4-5, 6282 St Augustine Road, Gilroy, 95020, CA, 408 594 3324
674, Rachel BAKER, 1985-5-5, 4982 Second Bank, Edmonton, T5A 0W4, AB, 780 589 4853
675, David MILLER, 1908-3-21, 7774 Red Kite Rise, Moscow, 83843, ID, 855 298 7340
676, Flanigan SULLIVAN, 1969-8-21, 5368 Anson Fields, Calgary, T1Y 3A8, AB, 403 952 8336
677, Persepone BAKER, 1916-2-6, 4608 Watling Isaf, Charleston, 29401, SC, 843 311 4607
678, Flanigan BRYANT, 1909-4-6, 2925 Stanford Grove, Charleston, 29401, SC, 843 398 5150
679, Jevrem LEE, 1990-4-3, 5330 Melbourne Meadows, Volgograd, 400001, VO, 506 948 5413
680, Rachel RICE, 1968-8-14, 3502 Bow Cliff, Edmonton, T5A 0W4, AB, 780 817 1522
681, Heugh HENDERSON, 1910-8-6, 7616 St Peter's Glebe, Alaxandria, 22304, VA, 905 520 1644
682, Aaron RICE, 1976-6-30, 4313 Clifton Edge, Winnipeg, R2C 0G3, MB, 306 987 5214
683, Mike GORDON, 1946-7-13, 3712 St Annes Promenade, Charleston, 29401, SC, 843 978 1164
684, Haiyi JONES, 1960-7-13, 2920 Second Bank, Calgary, T1Y 3A8, AB, 403 958 7109
685, Tylor HERNANDEZ, 2011-11-4, 4097 Pound Loan, Alaxandria, 22304, VA, 905 115 1332
686, Aaron MYERS, 1910-1-4, 6617 Beck East, San Francisco, 94140, CA, 415 806 1790
687, Samuel ROBERTS, 1931-11-4, 3591 Mead Heath, Charleston, 29401, SC, 843 675 3019
688, Veronica WILLIAMS, 1934-1-24, 5126 Parkland Park, Moscow, 83843, ID, 855 426 4381
689, Ulysiss REED, 1954-1-11, 3065 Egypt Road, Moscow, 83843, ID, 855 271 7183
690, Ogrid GARCIA, 2018-1-19, 9985 Edinburgh Parc, Alaxandria, 22304, VA, 905 673 8853
691, Quanny FISHER, 1943-10-22, 1895 Lytton Lanes, Winnipeg, R2C 0G3, MB, 306 545 6829
692, Ethan GONZALEZ, 2011-12-30, 1680 Brompton Brambles, Charleston, 29401, SC, 843 897 2256
693, Mike BENNETT, 1994-5-19, 5006 Bow Cliff, Alaxandria, 22304, VA, 905 987 6139
694, Samuel REYES, 1943-3-22, 7047 Humber Quadrant, San Francisco, 94140, CA, 415 685 3704
695, Sharell TAYLOR, 2014-8-26, 2064 Burgess Gate, San Francisco, 94140, CA, 415 227 2181
696, Mavrick ALLEN, 1920-11-27, 4167 Clifton Edge, Vancouver, V5K 0A8, BC, 604 217 1135
697, Grant CLARK, 1957-4-11, 8708 Beeston Hawthorns, Edmonton, T5A 0W4, AB, 780 990 2746
698, Riley KENNEDY, 1921-3-29, 5856 Trent Top, Gilroy, 95020, CA, 408 769 6708
699, Heugh NELSON, 1975-3-8, 272 Old Kirton Road, Winnipeg, R2C 0G3, MB, 306 659 3441
700, Geralt MITCHELL, 2010-11-21, 336 Greenway Moor, Volgograd, 400001, VO, 506 988 5880
701, Ivana GREEN, 1987-9-7, 1827 Frog Pleasant, San Francisco, 94140, CA, 415 261 4745
702, Beuatrice GRAHAM, 1940-1-29, 6786 Beck East, Winnipeg, R2C 0G3, MB, 306 863 2797
703, Tylor PETERSON, 1990-4-12, 4218 Boswell Grange, Calgary, T1Y 3A8, AB, 403 806 8954
704, Veronica BUTLER, 1971-2-16, 4044 Linksfield Street, Moscow, 83843, ID, 855 552 2412
705, Flanigan RICHARDSON, 2003-4-23, 2295 Watling Isaf, Charleston, 29401, SC, 843 243 6211
706, Yovonne CAMPBELL, 1941-6-27, 4149 Windmill Brow, Moscow, 83843, ID, 855 914 7223
707, Killian SMITH, 1955-5-24, 2628 Stony Acre, Moscow, 83843, ID, 855 252 5665
708, Rachel NELSON, 1958-6-1, 5043 Kendal Parade, Winnipeg, R2C 0G3, MB, 306 696 4172
709, Ivana SANCHEZ, 1922-2-22, 4547 Canning Head, Volgograd, 400001, VO, 506 427 4385
710, Jevrem TORRES, 2016-2-11, 7527 Clarence Hills, Alaxandria, 22304, VA, 905 972 8586
711, Jacob REED, 1960-11-13, 999 Linksfield Street, Winnipeg, R2C 0G3, MB, 306 325 4916
712, Adam RAMIREZ, 1970-12-24, 6301 Thomson Ridge, Moscow, 83843, ID, 855 510 1082
713, William SIMPSON, 1994-4-25, 6010 Boswell Grange, Charleston, 29401, SC, 843 942 3163
714, Ogrid HALL, 1954-9-1, 3654 St Augustine Road, Moscow, 83843, ID, 855 578 1001
715, Ulysiss COOK, 1987-2-3, 3303 Leaverholme Close, San Francisco, 94140, CA, 415 817 3652
716, Olyiv JAMES, 1966-3-15, 2176 Torrington Furlong, Winnipeg, R2C 0G3, MB, 306 159 8466
717, Olyiv BARNES, 1901-5-22, 8981 Boswell Grange, San Francisco, 94140, CA, 415 963 5887
718, Xavier STEWART, 1900-11-25, 2176 Farmlea Road, Charleston, 29401, SC, 843 713 3414
719, Cleo COLE, 2001-10-20, 4685 Marhill Road, Moscow, 83843, ID, 855 921 8098
720, Kristopher MITCHELL, 2006-1-25, 6221 Malton Poplars, Vancouver, V5K 0A8, BC, 604 634 8217
721, Ethan POWELL, 1984-7-17, 4865 Langdale Terrace, Gilroy, 95020, CA, 408 326 8800
722, Jevrem WRIGHT, 1996-4-29, 6211 Knowsley Mount, Edmonton, T5A 0W4, AB, 780 972 3736
723, Samuel ROGERS, 2001-1-25, 9610 Kendal Dell, Volgograd, 400001, VO, 506 767 1413
724, Ethan SIMPSON, 1931-6-19, 9905 Mornington Grove, Gilroy, 95020, CA, 408 937 5208
725, John COLEMAN, 1938-4-11, 9043 Bond Barton, San Francisco, 94140, CA, 415 324 2773
726, John HUGHES, 1982-12-4, 2046 Ambrose Green, Alaxandria, 22304, VA, 905 528 3857
727, Persepone WARD, 1930-9-3, 8353 Ivy Buildings, San Francisco, 94140, CA, 415 278 2669
728, Veronica BOYD, 1985-9-11, 5639 Boswell Grange, Winnipeg, R2C 0G3, MB, 306 364 5630
729, Mavrick BUTLER, 1960-7-16, 771 Kendal Parade, Gilroy, 95020, CA, 408 276 8252
730, Haiyi RUSSELL, 1920-4-28, 960 Chepstow Square, Edmonton, T5A 0W4, AB, 780 942 2344
731, Olyiv SIMMONS, 2016-1-22, 7344 Poets' Road, Edmonton, T5A 0W4, AB, 780 418 5949
732, Jevrem ADAMS, 1925-9-19, 7562 Beck East, Winnipeg, R2C 0G3, MB, 306 460 8211
733, Ryan OWENS, 2013-6-29, 7868 Beeston Hawthorns, Alaxandria, 22304, VA, 905 620 5829
734, Sharell BROWN, 1971-2-16, 8672 Canning Head, San Jose, 95111, CA, 408 138 4142
735, Mike MOORE, 1968-12-23, 524 High Hall, Volgograd, 400001, VO, 506 957 2366
736, Phillip BOYD, 1972-1-30, 6691 Pound Loan, Calgary, T1Y 3A8, AB, 403 284 8163
737, Ivana GREEN, 1936-3-29, 4369 St Annes Promenade, Volgograd, 400001, VO, 506 490 4122
738, Zaplod WARREN, 1946-6-6, 5281 Clifton Edge, Vancouver, V5K 0A8, BC, 604 610 1971
739, Samantha GRIFFIN, 1908-7-4, 3479 Dane Ridings, San Francisco, 94140, CA, 415 248 1144
740, Olyiv WOODS, 1916-7-19, 5354 Dane Ridings, Volgograd, 400001, VO, 506 139 7859
741, Beuatrice RIVERA, 1993-4-13, 9286 Second Bank, San Jose, 95111, CA, 408 737 3278
742, Riley GRAHAM, 2016-9-2, 6543 Edinburgh Parc, Vancouver, V5K 0A8, BC, 604 332 1034
743, Geralt MILLER, 1988-2-10, 1748 Langdale Terrace, Winnipeg, R2C 0G3, MB, 306 510 8684
744, Xavier MILLER, 2018-10-30, 5985 St Davids Hall, San Jose, 95111, CA, 408 239 8022
745, Mike PRICE, 1957-6-22, 7244 Stanford Grove, Calgary, T1Y 3A8, AB, 403 916 4692
746, Vlad EDWARDS, 1969-5-14, 4583 Marhill Road, San Jose, 95111, CA, 408 268 3213
747, Olyiv FOSTER, 1944-11-10, 8233 Torrington Furlong, Calgary, T1Y 3A8, AB, 403 795 1373
748, Jevrem HENDERSON, 1956-12-21, 1350 Bow Cliff, Winnipeg, R2C 0G3, MB, 306 303 1569
749, Adam COLE, 1974-10-22, 3414 Sir Karl Cohen Square, Alaxandria, 22304, VA, 905 234 3141
750, Tylor YOUNG, 1910-5-20, 445 Bond Barton, Gilroy, 95020, CA, 408 205 1643
751, Ethan WRIGHT, 1908-1-24, 8968 Lowfield Beeches, Edmonton, T5A 0W4, AB, 780 414 6380
752, Tristiana MURRAY, 2007-4-13, 3319 Sievewright Street, Charleston, 29401, SC, 843 901 8862
753, Aaron DAVIS, 1951-4-17, 1381 French Side, Gilroy, 95020, CA, 408 720 7736
754, Ethan KING, 1988-10-10, 9293 Wallis Reach, Moscow, 83843, ID, 855 688 6754
755, Adam WHITE, 1971-11-1, 142 Forbes Bottom, Moscow, 83843, ID, 855 610 5197
756, Ulysiss WARREN, 1934-11-8, 9901 Brompton Brambles, Charleston, 29401, SC, 843 860 5193
757, Zaplod THOMPSON, 2016-8-26, 3162 Bernard Wood, Edmonton, T5A 0W4, AB, 780 525 7466
758, Beuatrice RAMOS, 1917-5-21, 9497 Beeston Hawthorns, Vancouver, V5K 0A8, BC, 604 335 8807
759, Geralt REYES, 1974-5-30, 7646 Second Bank, Moscow, 83843, ID, 855 793 6442
760, Adam TORRES, 1937-2-12, 3484 Fairey Street, Charleston, 29401, SC, 843 961 7203
761, Vlad POWELL, 1967-10-2, 7982 Bernard Wood, Volgograd, 400001, VO, 506 703 2209
762, Kristopher RIVERA, 1915-8-26, 8595 Woodburn Road, Calgary, T1Y 3A8, AB, 403 331 5792
763, Aaron NELSON, 1973-3-22, 8400 Williams Cloisters, Vancouver, V5K 0A8, BC, 604 439 7890
764, Ogrid LOPEZ, 1927-11-16, 6256 Lords Nook, Charleston, 29401, SC, 843 427 2149
765, Phillip FORD, 1939-12-1, 7948 St Augustine Road, Charleston, 29401, SC, 843 808 7641
766, Eunice MARSHALL, 1927-6-5, 545 Windmill Brow, Charleston, 29401, SC, 843 238 8373
767, Mavrick BENNETT, 1920-1-14, 581 Stanford Grove, Alaxandria, 22304, VA, 905 436 1816
768, Vlad WELLS, 1984-11-1, 1589 Livingstone Alley, Moscow, 83843, ID, 855 326 6401
769, Tylor MYERS, 1904-7-5, 3489 Lytton Lanes, Gilroy, 95020, CA, 408 584 7099
